"campaignid","caab_code","number","opcode","latitude_dd","longitude_dd","date_time","site","location","status","depth_m","successful_count","successful_length","zone","marine_region","observer_count","observer_length","level_1","level_2","level_3","level_4","level_5"
"SCI3304-2025","82003004",3,"S13",-35.0739,117.9035667,"2025-04-24T13:01:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","Darren Yap","James Wijaya","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",5,"S13",-35.0739,117.9035667,"2025-04-24T13:01:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","Darren Yap","James Wijaya","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S14",-35.0725,117.90285,"2025-04-24T13:31:00+08:00","Sandy","Prince Harbour","fished","2.4","Yes","Yes","NA","South-west","Evan Setiawan","Ephraim Chang","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",3,"S14",-35.0725,117.90285,"2025-04-24T13:31:00+08:00","Sandy","Prince Harbour","fished","2.4","Yes","Yes","NA","South-west","Evan Setiawan","Ephraim Chang","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",7,"S14",-35.0725,117.90285,"2025-04-24T13:31:00+08:00","Sandy","Prince Harbour","fished","2.4","Yes","Yes","NA","South-west","Evan Setiawan","Ephraim Chang","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",0,"S14",-35.0725,117.90285,"2025-04-24T13:31:00+08:00","Sandy","Prince Harbour","fished","2.4","Yes","Yes","NA","South-west","Evan Setiawan","Ephraim Chang","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S15",-35.0729,117.9050167,"2025-04-24T13:14:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Caelan McCuaig","Ephraim Chang","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",10,"S15",-35.0729,117.9050167,"2025-04-24T13:14:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Caelan McCuaig","Ephraim Chang","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",0,"S15",-35.0729,117.9050167,"2025-04-24T13:14:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Caelan McCuaig","Ephraim Chang","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",0,"S15",-35.0729,117.9050167,"2025-04-24T13:14:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Caelan McCuaig","Ephraim Chang","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S16",-35.0713,117.9047833,"2025-04-24T13:18:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Kayla Ferrera","Darren Yap","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",1,"S16",-35.0713,117.9047833,"2025-04-24T13:18:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Kayla Ferrera","Darren Yap","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",5,"S16",-35.0713,117.9047833,"2025-04-24T13:18:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Kayla Ferrera","Darren Yap","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",2,"S16",-35.0713,117.9047833,"2025-04-24T13:18:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Kayla Ferrera","Darren Yap","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S17",-35.074,117.91255,"2025-04-24T11:21:00+08:00","Sandy","Prince Harbour","fished","2.5","Yes","Yes","NA","South-west","Darren Yap","Ephraim Chang","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",3,"S17",-35.074,117.91255,"2025-04-24T11:21:00+08:00","Sandy","Prince Harbour","fished","2.5","Yes","Yes","NA","South-west","Darren Yap","Ephraim Chang","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",7,"S17",-35.074,117.91255,"2025-04-24T11:21:00+08:00","Sandy","Prince Harbour","fished","2.5","Yes","Yes","NA","South-west","Darren Yap","Ephraim Chang","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",0,"S17",-35.074,117.91255,"2025-04-24T11:21:00+08:00","Sandy","Prince Harbour","fished","2.5","Yes","Yes","NA","South-west","Darren Yap","Ephraim Chang","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S18",-35.0755,117.91245,"2025-04-24T11:11:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Khai Siang Tan","Darren Yap","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",0,"S18",-35.0755,117.91245,"2025-04-24T11:11:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Khai Siang Tan","Darren Yap","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",3,"S18",-35.0755,117.91245,"2025-04-24T11:11:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Khai Siang Tan","Darren Yap","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",7,"S18",-35.0755,117.91245,"2025-04-24T11:11:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Khai Siang Tan","Darren Yap","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S19",-35.0736,117.9104833,"2025-04-24T11:08:00+08:00","Sandy","Prince Harbour","fished","2.1","Yes","Yes","NA","South-west","Darren Yap","Erika Teng Gui","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",0,"S19",-35.0736,117.9104833,"2025-04-24T11:08:00+08:00","Sandy","Prince Harbour","fished","2.1","Yes","Yes","NA","South-west","Darren Yap","Erika Teng Gui","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",4,"S19",-35.0736,117.9104833,"2025-04-24T11:08:00+08:00","Sandy","Prince Harbour","fished","2.1","Yes","Yes","NA","South-west","Darren Yap","Erika Teng Gui","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",6,"S19",-35.0736,117.9104833,"2025-04-24T11:08:00+08:00","Sandy","Prince Harbour","fished","2.1","Yes","Yes","NA","South-west","Darren Yap","Erika Teng Gui","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S2",-35.07,117.8931833,"2025-04-24T13:59:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","Riho Takishima","Erika Teng Gui","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",3,"S2",-35.07,117.8931833,"2025-04-24T13:59:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","Riho Takishima","Erika Teng Gui","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",1,"S2",-35.07,117.8931833,"2025-04-24T13:59:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","Riho Takishima","Erika Teng Gui","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",6,"S2",-35.07,117.8931833,"2025-04-24T13:59:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","Riho Takishima","Erika Teng Gui","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S20",-35.0773,117.9076333,"2025-04-24T10:52:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","James Wijaya","Caelan McCuaig","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",0,"S20",-35.0773,117.9076333,"2025-04-24T10:52:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","James Wijaya","Caelan McCuaig","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",2,"S20",-35.0773,117.9076333,"2025-04-24T10:52:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","James Wijaya","Caelan McCuaig","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",13,"S20",-35.0773,117.9076333,"2025-04-24T10:52:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","James Wijaya","Caelan McCuaig","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S21",-35.0763,117.9083167,"2025-04-24T10:54:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Caelan McCuaig","James Wijaya","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",2,"S21",-35.0763,117.9083167,"2025-04-24T10:54:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Caelan McCuaig","James Wijaya","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",0,"S21",-35.0763,117.9083167,"2025-04-24T10:54:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Caelan McCuaig","James Wijaya","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",8,"S21",-35.0763,117.9083167,"2025-04-24T10:54:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Caelan McCuaig","James Wijaya","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S22",-35.0741,117.9050833,"2025-04-24T13:01:00+08:00","Sandy","Prince Harbour","fished","2","Yes","No","NA","South-west","Darren Yap","NIL","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",2,"S22",-35.0741,117.9050833,"2025-04-24T13:01:00+08:00","Sandy","Prince Harbour","fished","2","Yes","No","NA","South-west","Darren Yap","NIL","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",5,"S22",-35.0741,117.9050833,"2025-04-24T13:01:00+08:00","Sandy","Prince Harbour","fished","2","Yes","No","NA","South-west","Darren Yap","NIL","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",0,"S22",-35.0741,117.9050833,"2025-04-24T13:01:00+08:00","Sandy","Prince Harbour","fished","2","Yes","No","NA","South-west","Darren Yap","NIL","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S23",-35.0761,117.90425,"2025-04-24T10:41:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Caelan McCuaig","Erika Teng Gui","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",0,"S23",-35.0761,117.90425,"2025-04-24T10:41:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Caelan McCuaig","Erika Teng Gui","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",0,"S23",-35.0761,117.90425,"2025-04-24T10:41:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Caelan McCuaig","Erika Teng Gui","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",10,"S23",-35.0761,117.90425,"2025-04-24T10:41:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Caelan McCuaig","Erika Teng Gui","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S24",-35.076,117.9028667,"2025-04-24T10:38:00+08:00","Sandy","Prince Harbour","fished","1.5","Yes","Yes","NA","South-west","Khai Siang Tan","James Wijaya","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",0,"S24",-35.076,117.9028667,"2025-04-24T10:38:00+08:00","Sandy","Prince Harbour","fished","1.5","Yes","Yes","NA","South-west","Khai Siang Tan","James Wijaya","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",0,"S24",-35.076,117.9028667,"2025-04-24T10:38:00+08:00","Sandy","Prince Harbour","fished","1.5","Yes","Yes","NA","South-west","Khai Siang Tan","James Wijaya","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",10,"S24",-35.076,117.9028667,"2025-04-24T10:38:00+08:00","Sandy","Prince Harbour","fished","1.5","Yes","Yes","NA","South-west","Khai Siang Tan","James Wijaya","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S3",-35.0701,117.9068167,"2025-04-24T12:06:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Darren Yap","Erika Teng Gui","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",0,"S3",-35.0701,117.9068167,"2025-04-24T12:06:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Darren Yap","Erika Teng Gui","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",6,"S3",-35.0701,117.9068167,"2025-04-24T12:06:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Darren Yap","Erika Teng Gui","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",0,"S3",-35.0701,117.9068167,"2025-04-24T12:06:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Darren Yap","Erika Teng Gui","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S4",-35.07,117.909,"2025-04-24T12:04:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Kayla Ferrera","Erika Teng Gui","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",0,"S4",-35.07,117.909,"2025-04-24T12:04:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Kayla Ferrera","Erika Teng Gui","Physical","Relief","Low / moderate","Low (<1m)","1"
